PartNumber,PartDescription,active,ItemCost,ItemCurrencyCode,Length,Width,Height,DimensionUOM,Weight,WeightUOM,Quantity
05-0778-01,"OP PAS,CDC_C-band_N_1450_PS_NM",TRUE,14317,USD,,,,,,,0
05-0779-01,"OP PAS,CDC_C-band_N_1500_PS_NM",TRUE,14785,USD,,,,,,,0
05-0780-01,"OP PAS,CDC_C-band_N_1850_PS_NM",TRUE,17968,USD,,,,,,,0
05-0781-01,"OP PAS,CDC_C-band_N_1550_PS_NM",TRUE,10780,USD,,,,,,,0
05-0782-01,"OP PAS,CDC_C-band_N_1600_PS_NM",TRUE,15721,USD,,,,,,,0
05-0783-01,"OP PAS,CDC_C-band_N_1650_PS_NM",TRUE,16106,USD,,,,,,,0
05-0784-01,"OP PAS,CDC_C-band_N_1700_PS_NM",TRUE,16572,USD,,,,,,,0
05-0785-01,"OP PAS,CDC_C-band_N_1750_PS_NM",TRUE,17037,USD,,,,,,,0
05-0786-01,"OP PAS,CDC_C-band_N_1800_PS_NM",TRUE,17503,USD,,,,,,,0
05-0787-01,"OP PAS,COUPLER,1x2,99/1,1590-1630nm,250u",TRUE,10.83,USD,,,,,,,0
05-0788-01,"OP PAS,FU FBR SPLTT,99/1_1600nm_I.L=21.5",TRUE,32.8,USD,,,,,,,0
05-0791-01,"OP PAS,AWG,40CHS, 100G,C,subgridA",TRUE,6446,USD,,,,,,,0
05-0796-01,"OP PAS,SWDM,1480/1500nm,0.7/0.6dB IL",TRUE,170,USD,,,,,,,0
05-0799-01,"OP PAS,2x2CPLR,1550,3dB,34nmBW",TRUE,76.8,USD,,,,,,,0
05-0800-01,"OP PAS,SPLTR,2x2,50/50,1590nm,3.5dB IL,0",TRUE,79.8,USD,,,,,,,0
05-0901-01,"OP PAS,FILTER,GF,1574.6-1602.2nm PASS,+/",TRUE,650,USD,,,,,,,0
